sigla;nome;atuacao
NRA;NO AR;BRASILEIRA
OCA;NÌO INFORMADO;NÌO INFORMADO
ONE;AVIANCA BRASIL;BRASILEIRA
PAC;POLAR AIR CARGO INC.;ESTRANGEIRA
PAM;MAP LINHAS AEREAS;BRASILEIRA
PEP;PENTA;BRASILEIRA
PLI;AEROPERU EMP.T.A.DEL PERU;ESTRANGEIRA
PLY;PUMA AIR;BRASILEIRA
PTB;PASSAREDO;BRASILEIRA
PTN;PANTANAL;BRASILEIRA
PUA;PLUNA;ESTRANGEIRA
QTR;QATAR AIRWAYS;ESTRANGEIRA
RAM;NÌO INFORMADO;NÌO INFORMADO
RDN;DINAR L…NEAS AREAS;ESTRANGEIRA
RIO;RIO LINHAS AEREAS;BRASILEIRA
RLE;RICO;BRASILEIRA
RLR;NÌO INFORMADO;NÌO INFORMADO
ROI;AVIOR AIRLINES CA;ESTRANGEIRA
RSL;RIO SUL;BRASILEIRA
RSU;CIA BOLIVIANA DE TRASNP. AEREO;ESTRANGEIRA
RZO;SATA INTERNACIONAL - SERVI‚OS E TRANSPORTES AƒREOS S.A.;ESTRANGEIRA
SAA;SOUTH µFRICAN AIRWAYS;ESTRANGEIRA
SAB;NÌO INFORMADO;NÌO INFORMADO
SBA;SOL;BRASILEIRA
SIA;SINGAPORE AIRLINES;ESTRANGEIRA
SKC;SKYMASTER ;BRASILEIRA
SKX;NÌO INFORMADO;NÌO INFORMADO
SLM;SURINAM AIRWAYS;ESTRANGEIRA
SLX;SETE;BRASILEIRA
STU;NÌO INFORMADO;NÌO INFORMADO
SUL;AMƒRICA DO SUL LINHAS AƒREAS;BRASILEIRA
SWR;SWISSAIR;ESTRANGEIRA
T7B;NÌO INFORMADO;NÌO INFORMADO
T9B;NÌO INFORMADO;NÌO INFORMADO
TAB;TABA;BRASILEIRA
TAE;NÌO INFORMADO;NÌO INFORMADO
TAM;TAM;BRASILEIRA
TAP;TAP AIR PORTUGAL;ESTRANGEIRA
TBA;TRANSBRASIL;BRASILEIRA
